,X,seasonal,spatial,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
GFDL-CM4_r1i1p1f1_gr2,x ~ gmst (rp20),good,good,duplicate,N,0.865564449542301,0.686237194780877,1.01132561364456,-0.136984795501234,-0.388934949676338,0.0162309775778562,13.1225138639124,3100.72442982241,60.7345581291535,Inf,2.28109929278816,1.746569656204,2.77358793643312,21.040605705309,16.0601100198464,25.9747385797566,11.6735623439964,9.3928253717448,14.7417742111428,2.00588671799699,1.75673626336642,2.25770945090952,13.4855090668465,12.1401452170135,14.8582516766554,212.907658957916,498.731618702798,581.930083331748,174,1000,0,203,1000,0,1852,2054
GFDL-ESM4_r1i1p1f1_gr1,x ~ gmst (rp20),reasonable,good,reasonable,N,0.995251628102702,0.822112564953813,1.19460655387525,-0.372335386639763,-0.745236019059559,-0.237583019824416,12.3391595210138,1228.64257360115,4.73249247134648,Inf,1.23701096028129,0.519637487125704,2.0086530980653,11.1420861783143,4.63188447071815,18.7062129659151,10.2997680188805,7.53877094718937,14.4015202999799,1.66655575166059,1.32845252128314,2.05681964804033,11.6224391208012,9.60525892664453,13.8482328952111,214.524386819441,484.867025248274,581.375838157348,174,1000,0,203,1000,0,1852,2054
HadGEM3-GC31-LL_r1i1p1f3_gn,x ~ gmst (rp20),good,good,good,Y,1.15005891887686,0.908691136048539,1.33653941228664,-0.330692270618869,-0.47245911741176,-0.197190983053463,14.9524192407332,4745.95139292177,29.4250370216019,Inf,1.99116775990916,1.49352661067111,2.51102363817816,15.3624652901385,11.6799248401677,19.2504665409996,8.97090427712189,7.42095213016172,11.2075332054671,1.8581391126035,1.68720764587304,2.02138857473889,11.1743653609005,10.3524640987421,11.9988012716295,240.140102320389,561.760127821021,703.630118316948,174,1000,0,219,1000,0,1852,2070
INM-CM4-8_r1i1p1f1_gr1,x ~ gmst (rp20),bad,good,bad,N,0.883283486724032,0.70223221166954,1.00500982600016,-0.136653535186699,-0.395158031716183,0.0165062572916258,12.53957090924,3.30812241910141,1.37986494156375,34.8499106940499,0.598262509334102,0.197261400907769,1.14464557913066,5.01002477533212,1.62155738214089,9.70366561884983,4.68474909467182,3.4439191416923,6.64421012588877,0.950418247166109,0.768568153218551,1.13514260061146,6.91788656042624,5.71487495414344,8.09549374121718,216.92738842432,448.690335955066,542.043129860171,174,1000,0,213,1000,0,1852,2064
INM-CM5-0_r1i1p1f1_gr1,x ~ gmst (rp20),bad,reasonable,bad,N,0.693255509305257,0.574470098127107,0.792727382047847,-0.0118312460110023,-0.328323582810926,0.168760951221939,13.1773100255365,16.0035263081102,4.61071318321821,776.244252990213,1.22988597855842,0.825931102795308,1.68018480886584,10.2941518918423,6.88505876472437,14.1677621182704,7.83925688780025,5.76539788821376,11.1727310172236,1.46085954772878,1.27020223439117,1.70208154062589,9.77616104547032,8.69417755486006,11.1597053709418,191.335156744532,434.738121828373,550.051514046034,174,1000,0,213,1000,0,1852,2064
IPSL-CM6A-LR_r1i1p1f1_gr,x ~ gmst (rp20),good,good,good,Y,1.13961582493032,0.95254584087607,1.30154917236413,-0.217743515388896,-0.480009706923401,-0.0175242087817389,15.7964112703035,144.244558227371,14.6424551617805,Inf,1.97845575435925,1.53853775733627,2.48234651105193,14.3180063944796,11.0931594195841,17.9369470298737,10.3062251198067,8.66001537873413,12.4894833662614,2.04789528143167,1.8950634065865,2.24492311749113,11.4759831673943,10.71112799851,12.406872897561,249.774566247974,557.149666180019,685.176408911018,174,1000,0,219,1000,0,1852,2070
KACE-1-0-G_r1i1p1f1_gr,x ~ gmst (rp20),good,good,good,Y,1.12387245412648,0.938705574087104,1.28286246933879,-0.129180351616189,-0.311425892557159,-0.0145940594558523,14.4498312061041,77.557559224825,16.2464204182374,Inf,2.68076839898158,2.18164975926586,3.15701874899099,22.7780957831171,18.6972394655368,26.6216990367074,9.64611161946656,7.62690727074336,12.460242390533,2.42269956560336,2.21487716859538,2.64383527210993,14.5556493220501,13.5926296057491,15.573643416349,253.863634037895,581.632439977824,749.578203340337,174,1000,0,219,1000,0,1852,2070
KIOST-ESM_r1i1p1f1_gr1,x ~ gmst (rp20),bad,bad,bad,N,0.867639135342414,0.625823918008655,1.03593072757234,-0.277512580286144,-0.489975291751255,-0.0206905950127022,8.70981629413451,29095.1467641094,47.4586057815843,Inf,1.6944922280309,1.39788771029357,2.0582892060999,24.1541547056719,19.9448968030756,29.4064590740737,11.4947361992754,9.51363709185126,13.530815004927,1.77441125519812,1.59286911538072,1.93110050721653,16.769374445029,15.5001791461585,17.8693319480607,201.124858744459,468.488355123561,590.346518522964,174,1000,0,219,1000,0,1852,2070
MPI-ESM1-2-LR_r1i1p1f1_gn,x ~ gmst (rp20),bad,reasonable,bad,N,0.945088555317997,0.721276505165156,1.11108789761688,-0.153566556972593,-0.291612145217251,-0.0157059347899421,13.9105998136514,23.9788200390107,6.10407198628073,964.713858650681,1.41229994095104,0.931237012909904,1.88541778376696,11.2999364340416,7.41413606794312,15.30311162077,8.04418874768382,5.88900957592997,11.1159068842838,1.5793909291677,1.31052786207211,1.85125233863479,10.1182878153284,8.70079444720327,11.6030273242002,224.696917021016,497.536487163721,574.509852047589,174,1000,0,203,1000,0,1852,2054
MRI-ESM2-0_r1i1p1f1_gn,x ~ gmst (rp20),bad,good,bad,N,1.2335598413146,0.978198597496089,1.5860709057091,-0.207274114460417,-0.714522731019787,0.00429094747418638,15.306782493575,3189.11927134829,19.7351257764941,Inf,2.46787625320472,1.65164080677582,3.40412294604107,19.2218574308519,12.8951716395954,27.0603412828835,6.69542587471348,4.83899511535165,9.09351299491996,1.76112466307795,1.45853644349765,2.07011204884171,10.6658580004244,9.11436807220072,12.1746846798798,262.785951310193,572.516177314665,708.216514849139,174,1000,0,213,1000,0,1852,2064
NESM3_r1i1p1f1_gn,x ~ gmst (rp20),bad,good,bad,N,1.50035806709607,1.28167684545021,1.70970918455722,-0.214853244993822,-0.479292956504191,-0.03834432245984,19.1436946686487,170.68825880063,11.0167039490842,Inf,2.10459040356884,1.43777944995745,2.79708567853277,12.3515319281308,8.51842126068728,16.3616239474518,5.95434313928816,4.79282740538661,8.13797931197147,1.78132550353607,1.55540867173752,2.01155471916588,8.6690272411907,7.69397655958636,9.66095377076872,291.484308041466,653.424082126861,815.920068271172,174,1000,0,219,1000,0,1852,2070
NorESM2-LM_r1i1p1f1_gn,x ~ gmst (rp20),bad,reasonable,bad,N,0.934817021926198,0.751221367715064,1.0739399574176,-0.0853874968940171,-0.287671858480764,0.0568268329398065,12.9443022198363,0.0959085272926698,0.0668876150549144,0.1874979784425,-3.75783404122237,-5.21016176060627,-2.29781453020243,-22.4991221630962,-30.1978544202093,-14.6199461336235,0.0282342801680268,0,0.448826032929339,-1.5703810780524,-2.51828058734468,-0.714276810393831,-12.2449451020379,-22.2671128295684,-5.0354036301953,229.126328160269,810.541953833215,917.732170188191,174,1000,0,199,1000,0,1852,2050
TaiESM1_r1i1p1f1_gn,x ~ gmst (rp20),reasonable,good,reasonable,N,0.946589454325623,0.775851746297046,1.10033377017922,-0.173214650442368,-0.328560231926757,-0.0427535843458339,13.3325512934146,48.7808224695928,8.277976793858,Inf,1.7782985564311,1.1558473727868,2.40521267356498,15.3908573484725,10.0160656736796,21.0773671396156,8.02127093280426,6.11907120109608,12.0013595088102,1.78788339166286,1.56994981639028,2.0397375165089,11.8243642046577,10.6285100405978,13.2444221172382,224.541980464807,538.487054579094,626.806890248721,174,1000,0,203,1000,0,1852,2054
