,X,cat,include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,attr_dI.rel_est,attr_dI.rel_lower,attr_dI.rel_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper,proj_dI.rel_est,proj_dI.rel_lower,proj_dI.rel_upper,aic_eval,aic_attr,aic_proj,attr_nobs,attr_nsamp,attr_nfailed,proj_nobs,proj_nsamp,proj_nfailed,ystart,yend
EC-EARTH_r12i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp100),,Y,1.21513387520035,0.917679688796701,1.41210404068713,-0.112250931186264,-0.292970090441276,0.076123753680394,20.4072675188292,2.33927772118037,0.600719880011735,Inf,0.589596882166916,-0.391989457040264,1.62933072106328,2.97510687798077,-1.94053111957394,8.6892793156907,4.79645248780084,2.3603291355518,13.0815463878791,1.23922498209404,0.801474239059491,1.65574459268377,5.62359501982846,3.71629134204603,7.36737533463912,266.814503682758,266.814503682758,347.54375074278,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r12i1p1_HadREM3-GA7-05,x ~ gmst (rp100),,Y,3.305529660259,1.10176416108437,4.51160713113466,-0.656706234208582,-0.909492800492107,0.225798735923061,24.4846527670482,Inf,1.67958685545424,Inf,3.63796036175045,0.540545433069999,4.44425516305685,17.4510195239699,2.47929497212319,21.9836277023627,34.9256450973554,3.42699865185142,50.7210330720349,3.04492979905842,1.43472824678598,3.96559514521828,11.1653372073613,5.74084777088168,14.0028314341575,363.579377696923,363.579377696923,481.810309497061,75,1000,0,100,1000,0,1951,2050
EC-EARTH_r12i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.49287322873296,1.18572698931492,1.75387964219213,-0.23262638247746,-0.482764871640855,-0.0762115402782413,20.5273775998501,9.51411731787362,0.434406188145383,Inf,0.899114859857363,-0.472128622234101,2.22544406616538,4.58071542941703,-2.34760672411458,11.4150724897118,8.7017849947352,3.80386261413475,24.2981109214991,1.63640385577144,0.995354875605068,2.25486595426249,7.14722895833072,4.55638027942872,9.63140693911405,284.658911164101,284.658911164101,378.913763737998,75,1000,0,100,1000,0,1951,2050
EC-EARTH_r12i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.56803612899495,1.12360683154762,1.92335081246347,-0.125100166884963,-0.389103766090409,0.177178666380721,21.7080229728579,1.4724841949977,0.283815478482551,Inf,0.334488557259103,-0.925083991321356,2.05743086413075,1.56496604985925,-4.26643725259857,10.2827077540325,3.6292601258004,1.54805958798115,13.5012865657353,1.5002087198434,0.89075258135699,2.17287195329815,6.05252095541666,3.66183328982109,8.49618449187276,306.085205113959,306.085205113959,418.0203182051,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r12i1p1_RCA4,x ~ gmst (rp100),,Y,1.22051465224332,0.777744315138624,1.51361973978761,-0.197268120376071,-0.361526211373158,0.156112617347942,20.3728423170988,112438.129217084,2.86524424388752,Inf,2.24526245385034,1.22430901325064,3.23825858134987,12.3858919435922,6.57660916848626,18.1406766386825,14.8249050260483,4.20591180672511,31.2284906690829,1.87905600340964,1.36604208548089,2.32727544514263,8.54068878398752,6.37199398608777,10.2929045283695,194.042228943401,194.042228943401,270.585210016825,56,1000,0,81,1000,0,1970,2050
EC-EARTH_r12i1p1_RegCM4-6,x ~ gmst (rp100),,Y,1.32294698625769,0.97793748302398,1.60235865079288,-0.193890340678271,-0.420564018285637,0.0476018676877735,24.4825229737335,2475.07022209433,3.92723839846421,Inf,2.18251157987818,0.713885640923325,3.51986624045597,9.78704244285528,3.13193007960659,16.2512468288098,8.88229670742771,2.7641744526011,28.5924869183758,1.88723718208405,1.14364495029759,2.77785346564505,7.01775376555527,4.35268560330978,9.98929275646143,203.911179216756,203.911179216756,306.321836844598,56,1000,0,80,1000,0,1970,2049
EC-EARTH_r12i1p1_REMO2015,x ~ gmst (rp100),,Y,1.56289504074082,1.30877222016238,1.85095302806219,-0.111266591148937,-0.433808545992617,0.0352316464205471,22.9851481063492,1.21952296240557,0.331716210895987,Inf,0.176296760793072,-1.08595883212209,1.7980247066913,0.772931341969661,-4.52664790220917,8.63622199820948,3.21658461468906,1.60496102604863,15.4436226735321,1.08388083134781,0.455697943257576,1.73847222344333,4.39122416403541,1.91825801828576,7.01126412993964,306.141516854946,314.021274787283,415.968226672765,78,1000,0,103,1000,0,1948,2050
EC-EARTH_r12i1p1_WRF361H,x ~ gmst (rp100),,Y,1.33588204222901,0.950130413630271,1.75533894787972,-0.190590719447063,-0.6116147239265,0.140199151043293,21.8130070876337,1084.92749086735,2.04215052147336,Inf,2.14768842233295,0.793354730668016,3.54659665875469,10.9211981706786,3.89407689752136,19.3590396223825,7.89847563840269,2.58615348679578,23.2346066706597,1.32420689863442,0.625404429442103,2.03492688860598,5.85860243049981,2.87763575820972,8.652203205397,206.442130573529,206.442130573529,304.510366206334,56,1000,0,81,1000,0,1970,2050
EC-EARTH_r1i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp100),,Y,1.36983484882112,1.10357674375433,1.58530405281409,-0.0742409847282435,-0.218131132661294,0.0777427099471636,22.1009310042723,4.5515275164392,1.52877285554291,224.54036897024,1.39878721722085,0.499164851956194,2.28603446196056,6.75672641253584,2.45118869418634,11.381033023396,2.51946615280473,1.57796159076941,4.60356638576753,0.997431246182266,0.505225999549516,1.44464910391304,4.40103740199966,2.3878443987349,6.23472696320499,289.372169921142,289.372169921142,366.488759782157,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r1i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.43983445097805,1.18103687132698,1.64938150692421,-0.241408322764585,-0.382499606205411,-0.104253050577439,20.7474236512037,96.5399638741738,1.9519697740156,Inf,1.31351675330231,0.334485504174153,2.39939458551347,6.75889186977713,1.73586449799441,12.6903450898806,6.73356304217351,3.27633525706001,13.8125950979746,1.12753405415479,0.641548750678,1.62141689909549,5.21456388727994,3.05088374668341,7.25862990661798,279.012702902466,279.012702902466,362.79033842307,75,1000,0,100,1000,0,1951,2050
EC-EARTH_r1i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.63800465393207,1.3811107353402,1.8978302346616,-0.379779764208667,-0.595056351371235,-0.234103816854612,20.5951854954669,Inf,0.920954122631967,Inf,1.31188740998992,-0.022890798214479,2.34506446255515,6.80323150207358,-0.11921937963978,12.3739143093913,8.25874719183986,3.73832588963762,16.2880819706233,1.02695342442733,0.503334744622791,1.57185159950456,4.79038220947851,2.44372978211057,7.03843858113163,290.711530921623,290.711530921623,372.875167759029,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r1i1p1_RCA4,x ~ gmst (rp100),,Y,1.15300332909317,0.908847845782826,1.34786972680417,-0.270373814414087,-0.454563232743222,-0.0765927011498885,19.7132342972878,Inf,2.52293758840544,Inf,1.56900019483812,0.428102255835739,2.70765171254792,8.64737627380089,2.18605360705806,15.693231600582,8.93376094648398,3.56584871232833,22.7637977513196,1.13627866456965,0.717213001269066,1.59451769544154,5.50126924755034,3.5983001769603,7.5120746187452,183.910364618813,183.910364618813,255.159350033725,56,1000,0,81,1000,0,1970,2050
EC-EARTH_r3i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp100),,Y,1.73385761591941,1.46225292599908,1.94151146504508,-0.285226633328694,-0.479840102687388,-0.145310104251885,21.1313446497113,4.01672538130618,0.181930221434439,Inf,0.537061725441674,-0.799977471014837,1.89848322443521,2.60781949736529,-3.73571836813733,9.53754047058541,2.20032132900416,0.719620505259769,4.22308420776109,0.621448158322323,-0.129080065657864,1.17544053491351,2.78743663780541,-0.646671371393562,5.08830654259272,306.708106394713,306.708106394713,396.477836267734,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r3i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.56139581390261,1.24504300299521,1.80193299821732,-0.321603538616248,-0.533868495242142,-0.112436033115186,20.6216923742877,Inf,1.01282638079245,Inf,1.39879635042053,0.0195291093391089,2.52617967792759,7.27672016060319,0.0897785713809237,13.5772998303376,3.57915936486734,1.81859230609125,13.8009206507104,1.18950762639949,0.61195161340391,1.74390435096038,5.18490532412919,2.82175255789751,7.25738792367158,285.036560634575,285.036560634575,382.40736528535,75,1000,0,100,1000,0,1951,2050
EC-EARTH_r3i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.72714730507148,1.41812073416417,1.94667675193595,-0.223555514214613,-0.337778534877628,-0.0724896441299491,21.9478589587893,5.64359101276962,0.575995604520305,Inf,0.88803255427765,-0.368579169366743,2.20768873500728,4.21671355319153,-1.71886617063727,11.0246924697098,4.54928266562355,2.1736559456122,10.7079485676127,1.23218413159015,0.594883160811711,1.85798431371435,5.24934895878501,2.62114644688086,7.64781841120513,311.57692018119,311.57692018119,403.881301068466,76,1000,0,101,1000,0,1950,2050
EC-EARTH_r3i1p1_RCA4,x ~ gmst (rp100),,Y,1.09267798567037,0.685202825780071,1.38266866653815,0.0689574926400756,-0.18841957050215,0.516172014727584,21.5670932633449,1.39251663437,0.743023908774029,108.257347239169,0.504753486198595,-0.916667428741439,2.20739824290112,2.39647395084889,-3.58210742761274,11.8388029917658,2.97136341912628,1.45366510846943,8.5766473302104,1.2175081868743,0.765706976337949,1.74719525045828,5.43520111529713,3.35474773324602,7.73478093567479,199.651788634922,199.651788634922,280.507324874576,56,1000,0,81,1000,0,1970,2050
HadGEM2-ES_r1i1p1_ALADIN63,x ~ gmst (rp100),,Y,1.57390408256549,1.23040067107434,1.82957743118982,-0.188013974525516,-0.471289249847792,0.0357317180137363,25.3289478209493,3427.07370283574,7.50234633778729,Inf,2.76275559694888,1.47123590615842,3.84084065444656,12.2428966727073,6.74707311317762,17.1072688301387,8.1992880928849,4.14746706078095,24.5128621898233,1.9605461771712,1.48659528321988,2.38565389542934,7.33327001791167,5.75499748929448,8.76468230974084,296.614111082373,296.614111082373,391.367832173643,75,1000,0,100,1000,0,1951,2050
HadGEM2-ES_r1i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.45846673929001,1.15686185617818,1.7067783681806,-0.100032283889029,-0.333909967122392,0.099035816709204,24.1480440482224,Inf,0.464336950233733,Inf,1.53773703605931,-0.224680723265889,3.05185274789588,6.80104447600863,-0.999403734156551,14.3795119792667,11.7238843163071,2.61539607737795,44.7536195560109,1.64449634100001,0.546902314320413,3.26639548977566,6.35820916645672,2.29675546067049,11.8654974852022,296.953898658273,370.726561857953,481.427916470582,77,1000,0,102,1000,0,1949,2050
HadGEM2-ES_r1i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp100),,Y,1.31380065998077,1.09280028390146,1.54292393741347,-0.199862602000481,-0.410186371016866,0.00194871526757588,22.2991865824196,553.632721874431,5.6553558031139,Inf,1.88027133247692,1.08979175413067,2.69737483124656,9.20847806781602,5.33977717949093,13.0975416704736,6.79368025375229,3.5451085535988,13.8580033685514,1.36051223039642,0.954854773808074,1.76976042485052,5.84446620417402,4.27222116860491,7.27910012271523,273.015698956657,273.015698956657,358.835256294817,76,1000,0,101,1000,0,1950,2050
HadGEM2-ES_r1i1p1_HadREM3-GA7-05,x ~ gmst (rp100),,Y,3.06572199197818,1.1498993137231,4.15371173725852,-0.723753561843385,-0.940310915057259,-0.0389980520920773,25.6082391502114,Inf,11.6663696144136,Inf,3.90710876208443,0.894576404602039,4.43592096249274,18.0041716362484,4.18437095880116,20.9462087710934,47.7643901034483,7.29093185838886,60.4329598240291,3.54301032620132,2.01919325178076,4.20066380350271,12.2285440864934,7.49749317163397,14.1327086266413,346.812056207336,346.812056207336,468.240569367457,75,1000,0,100,1000,0,1951,2050
HadGEM2-ES_r1i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.37019433882952,1.08387543591463,1.66177402299905,-0.162878841152995,-0.463901628962153,0.0711824818337451,23.4383226369823,591.516801376774,5.12321309343292,Inf,2.57166278129285,1.69700401253016,3.45596896006274,12.3242665528555,8.1871288574846,16.6175077441031,12.9319174094695,5.65718467429464,27.7451158920074,1.92474924618437,1.4609509651471,2.40786452438996,7.86608657560995,6.20473229799279,9.39443366942749,279.615082171496,279.615082171496,363.493936764539,75,1000,0,100,1000,0,1951,2050
HadGEM2-ES_r1i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.60699900795314,1.32678936799443,1.87025987377033,-0.159276158193773,-0.33990246619699,0.0544794342165563,24.9430731138236,194.384587845934,5.58059016751137,Inf,2.75600922894127,1.66516052987338,3.77634220773938,12.4216942054201,7.57955167329185,16.5274484878506,9.61823639218731,5.12141615669736,18.6298848321218,1.98614075671793,1.45962514035579,2.49106359571101,7.66567034035075,5.81543153691332,9.24516290142986,306.92009317283,306.92009317283,399.366962527668,76,1000,0,101,1000,0,1950,2050
HadGEM2-ES_r1i1p1_RCA4,x ~ gmst (rp100),,Y,1.32989531933883,1.0497289405869,1.6072700016438,-0.21598358008421,-0.59398578796395,-0.0621242526778125,21.7428502511924,556.799972621198,4.12811355982394,Inf,1.69851430957448,0.516295919415857,2.74963101259968,8.47378688184857,2.57035852110322,14.0180805301354,7.59142853288523,3.51840474235946,21.1949117599902,1.4340342223777,0.942058652514714,1.89066224068214,6.22064513701712,4.2384577325135,7.93768433571841,201.92606268816,201.92606268816,283.500080316451,56,1000,0,81,1000,0,1970,2050
HadGEM2-ES_r1i1p1_RegCM4-6,x ~ gmst (rp100),,Y,1.32739510569155,0.967855570456385,1.5592156294173,-0.0660350981418419,-0.265858889639805,0.179558603553535,26.0805305474155,11.1170533850604,2.44871397533969,Inf,2.18523614407755,1.08447618671174,3.33128861575849,9.14504800481675,4.47728978229692,13.7449628329102,5.42203912381566,2.59571182515591,15.4700539107112,1.57382052214324,1.07452044755991,2.08431751917607,5.86532033532043,4.12089230337386,7.58255151610884,212.029520349489,212.029520349489,300.021161709338,56,1000,0,80,1000,0,1970,2049
HadGEM2-ES_r1i1p1_REMO2015,x ~ gmst (rp100),Crazy PR,N,1.39701382558161,1.14883313713629,1.61001578820077,-0.289324651310246,-0.424257912391684,-0.150727893337007,23.5782968379196,Inf,225.951331362662,Inf,2.25187230784022,1.42289794531721,3.08187657009709,10.5590709997548,6.66819056106026,14.507556735046,11.0575422987293,5.51003303302735,23.0386592835892,1.68527990664064,1.26123402647745,2.1367738104453,6.69713081218989,5.18135730402259,8.2114813630676,274.200139452286,274.200139452286,368.320795546297,76,1000,0,101,1000,0,1950,2050
HadGEM2-ES_r1i1p1_WRF361H,x ~ gmst (rp100),,Y,1.51762844374979,1.10202541311281,1.75758754428217,-0.162208690333054,-0.3653254214006,0.0693148003866904,23.3907165052356,39.0094069144308,2.07868037426132,Inf,1.98966470837129,0.762452040984907,3.18128290386414,9.29704169335647,3.46565388440145,15.024691447705,6.06104671418959,2.381773320444,16.836551780097,1.53974448293042,0.934111042991431,2.14906226536854,6.25650818963853,3.91810673624056,8.47124673518895,221.269641412549,221.269641412549,319.617596513946,56,1000,0,81,1000,0,1970,2050
IPSL-CM5A-MR_r1i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.41948241142314,1.14668503921896,1.66490514649177,-0.181863491663278,-0.419342841402768,0.0252723278230415,23.2811430439952,260.587354271842,3.34659423621316,Inf,2.15282344237835,1.19006469688177,3.04690671330671,10.1892790480773,5.54139703615605,14.7289222186628,3.38954629123991,1.43530934153138,9.84965082480428,0.887253934427626,0.361988386752504,1.37706525790821,3.80740581546099,1.58718361833972,5.8934295730961,282.592522844649,282.592522844649,388.363012419563,75,1000,0,100,1000,0,1951,2050
IPSL-CM5A-MR_r1i1p1_RACMO22E,x ~ gmst (rp100),,Y,1.32025640775293,1.00331221846931,1.58851931312009,0.0101380380702411,-0.218469503770376,0.273409773738344,25.2210816545183,4.80962146387049,1.63183488021979,709.05973763381,2.19559985109417,1.31454793797421,3.01532466471308,9.53552186155625,5.78987774167344,13.24947210702,2.22802894368379,1.3182733323865,5.60891988014689,0.79017596515186,0.289464603738929,1.31104985500107,3.27820172662585,1.24891798515234,5.2115716365405,288.184874462993,288.184874462993,390.041906167014,75,1000,0,100,1000,0,1951,2050
IPSL-CM5A-MR_r1i1p1_RCA4,x ~ gmst (rp100),,Y,0.860020260402081,0.553063138809051,1.03730623954449,-0.0408452180065446,-0.213174557995295,0.407800560609159,20.8582531759045,10.9482463968169,1.35338525942956,Inf,1.6278596439523,0.981844607067698,2.45258631349303,8.46503552435127,4.71395243054929,13.3852176982895,2.95427372227875,1.51812545188796,8.02022801010248,0.745551603793906,0.409231234282514,1.11548634438296,3.56282343094691,1.95199197783197,5.24207925242156,165.472859933039,165.472859933039,241.671079567347,56,1000,0,81,1000,0,1970,2050
IPSL-CM5A-MR_r1i1p1_REMO2015,x ~ gmst (rp100),,Y,1.51110492385542,1.24774714774287,1.72285395586054,-0.05070643553305,-0.255227964852884,0.127999029926018,25.5263508952742,2.93097604194657,1.25230470470617,107.607438807077,1.25617311685881,0.293682589613132,2.2349165551678,5.17578869148617,1.23428293240093,9.45947669813872,1.72543736054559,1.13597125534969,3.86572386836442,0.610824217629744,0.13612174077825,1.0971969043379,2.41169063502745,0.55731194754423,4.23409116489868,306.48711289603,306.48711289603,401.187794539892,76,1000,0,101,1000,0,1950,2050
MIROC5_r1i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.94163336744885,1.61674002237101,2.22844146342929,-0.179683982668233,-0.383500141581701,-0.0423606541807002,26.7829082315414,20.3488142935111,1.55227159414077,Inf,1.97897772374839,0.327498097558274,3.40872767736739,7.97848439031315,1.27006574927937,14.3145040619905,9.95425831168427,4.71366099630433,30.7369163115615,2.32170188689472,1.58266358880336,3.06004679463401,7.96229193996701,5.63060810459478,10.2740835636176,333.389869776305,333.389869776305,437.350853999001,76,1000,0,101,1000,0,1950,2050
MIROC5_r1i1p1_REMO2015,x ~ gmst (rp100),,Y,1.99881460681437,1.50114869970369,2.35293250015719,-0.209871084956679,-0.359459625157534,0.0267544562865786,26.4854701062083,13.3946695166914,0.823501032116727,Inf,1.40428430271903,-0.109729586409655,2.84404061739361,5.59895498451144,-0.426582129040444,11.4397746754306,10.7881898166262,4.43830079460547,23.7912852465256,2.09844682110326,1.18989598554476,3.024693394785,7.28754681770863,4.3394429506939,10.1168668318888,335.264563968383,343.944948177961,446.58406523602,78,1000,0,103,1000,0,1948,2050
MPI-ESM-LR_r1i1p1_ALADIN63,x ~ gmst (rp100),,Y,1.36056482210487,1.12672555168434,1.56002434297235,-0.170811070544,-0.338023251187968,-0.0488895185900282,24.2840536307611,32.3696899871388,3.39481642230386,Inf,1.62756188652666,0.748687092824628,2.48984599484847,7.18364478004782,3.32922251108828,11.2437577290583,9.42138495699713,3.63858618795143,26.757818550343,1.67616626605914,1.01682318444324,2.34620794504928,6.42983494881169,4.04423180094387,8.76278087049858,276.392304601687,276.392304601687,379.830064322056,75,1000,0,100,1000,0,1951,2050
MPI-ESM-LR_r1i1p1_CCLM4-8-17,x ~ gmst (rp100),,Y,1.23124908941042,0.982584824942398,1.43972291687794,-0.162018967806611,-0.333786106145285,0.0121505911714917,19.6263185317394,Inf,0.364043930258731,Inf,0.615881446688448,-0.170645812854542,1.82575970199288,3.23970166458063,-0.900347888451464,9.90550707913933,13.328759011657,2.08797115617674,25.0071795704936,0.86706726798883,0.396763762086439,1.37745066345886,4.182855791999,1.9596332537737,6.37934277222771,266.422884752091,321.192549429041,416.715662806063,77,1000,0,102,1000,0,1949,2050
MPI-ESM-LR_r1i1p1_COSMO-crCLIM-v1-1,x ~ gmst (rp100),,Y,1.19769658809159,1.00197272344888,1.35199457823411,-0.176322313397771,-0.393585015607641,-0.0488369966720783,20.5464238778012,5.24786489038059,0.840048130745906,Inf,0.747314087145448,-0.084384437474677,1.56285783468356,3.77448327246584,-0.421705145679226,8.04245348083864,3.9195443657099,1.64921160498133,11.652183208144,0.818879899525147,0.323704208022185,1.34413850469115,3.7977766086176,1.51655864579615,6.13906534359138,260.033792937248,262.688894701411,356.866326477375,77,1000,0,102,1000,0,1949,2050
MPI-ESM-LR_r1i1p1_HadREM3-GA7-05,x ~ gmst (rp100),,Y,2.81914427947521,1.09261825692118,3.82043459516951,-0.705399515561515,-0.903663633472264,-0.0249760344936254,23.1660567514479,Inf,1.82341455504132,Inf,1.4366449031012,0.393077605457475,2.4976732227001,6.61152226819483,1.78350803036939,11.8305698091061,34.0039971397548,3.68786768423333,58.4513811869977,2.8253844573635,0.984339348727704,4.02926090797385,10.240157938829,4.09695857710038,13.9305832471874,335.525205250397,335.525205250397,463.304296356874,75,1000,0,100,1000,0,1951,2050
MPI-ESM-LR_r1i1p1_HIRHAM5,x ~ gmst (rp100),,Y,1.37376373860528,1.15416250316357,1.55925538447057,-0.219917947330454,-0.40007869834296,-0.081575585520813,21.0713500389341,7.66048268310627,0.789072221777639,Inf,0.821253576706813,-0.0985712347571889,1.70958624886254,4.05555389940342,-0.479030140037163,8.59521021730493,4.82360424102328,1.68210186538011,15.8826136196783,0.897965807151746,0.283155189492198,1.54239348756275,4.05789177020304,1.3346903935427,6.68597520726635,273.583144436857,273.583144436857,377.303596717235,75,1000,0,100,1000,0,1951,2050
