year,rx2day,rx2day_notc,ipo,nino34,pdo,gmst
1998,99.04601745167048,99.04601745167045,1.3601666666666665,1.5220375,1.8597473,-0.48319439999999997
1999,76.81773144909695,76.81773144909693,-1.028,-1.3932652,-0.771473,-0.46736099999999997
2000,77.04019637563624,77.04019637563621,-1.1140833333333333,-1.1661891,-1.0337473,-0.4490277
2001,70.1252381613658,70.12523816136577,-0.6239166666666667,-0.55535096,-0.3698767,-0.4438194
2002,84.17287205563719,84.17287205563716,-0.37474999999999997,-0.04908344,-0.55246997,-0.3850694
2003,85.02848126657486,85.02848126657483,0.4074166666666667,0.5870216,1.228833,-0.349861
2004,85.4114813353725,85.41148133537247,0.09708333333333334,0.1582283,0.7377339,-0.31444439999999996
2005,68.88705155009875,68.88705155009872,0.20141666666666666,0.48385105,0.63408333,-0.31215269999999995
2006,139.9476710333556,139.94767103335556,-0.48608333333333337,-0.4764901,0.10996678,-0.30048600000000003
2007,56.592293135423795,56.592293135423766,0.3184166666666666,0.18046631,0.21495199,-0.29861099999999996
2008,63.346810732437696,63.34681073243767,-1.0130833333333333,-1.1789726,-0.8536764,-0.3040277
2009,134.05366813778247,134.05366813778244,-0.5370833333333334,-0.5109089,-1.1085469,-0.28215270000000003
2010,111.33705921735509,111.33705921735506,0.44708333333333333,0.524708,0.51371425,-0.295486
2011,148.1093435313837,148.1093435313837,-1.3208333333333333,-1.2776003,-1.0493354,-0.2684027
2012,140.46453999044246,140.46453999044246,-0.8130833333333333,-0.69233745,-1.4999009,-0.26298599999999994
2013,65.5694416684754,65.5694416684754,-0.2785,-0.2319132,-0.78943485,-0.2571527
2014,93.64998247871517,93.64998247871517,-0.40641666666666665,-0.32432893,0.09634771,-0.1848611
2015,71.19206708722245,71.19206708722245,0.38600000000000007,0.34413114,1.8429527,-0.093611
2016,108.68558641161566,108.68558641161566,1.1040833333333333,1.3962159,2.0332072,-0.03256930000000002
2017,128.3989939895624,128.3989939895624,-0.2541666666666667,-0.68966967,1.0208354,-0.007152700000000012
2018,103.54791573113448,103.54791573113448,-0.7761666666666667,-0.776596,0.4037321,0.012639000000000067
2019,86.27810503542688,86.27810503542688,-0.03925,0.429835,0.6530604,0.012847300000000006
2020,73.03302468912646,73.03302468912646,-0.27099999999999996,-0.11909189,0.202004,-0.005485999999999991
2021,67.36364718698798,67.36364718698798,-1.1526666666666667,-1.072364,-0.70970726,0.005555599999999994
2022,133.94430587561592,133.94430587561592,-1.3519166666666667,-1.1480354,-0.7869878,0.022916700000000012
2023,231.2937193729739,90.16294709970892,-1.186,-0.70523566,,0.0
